id;basket_state;expected_delivery_time;delivery_address
1;VALIDATED;2020-04-22T08:58:29;Borders Ergonomic plum
2;NOTFINISHED;2020-04-22T12:00:06;Czech Koruna
3;NOTFINISHED;2020-04-21T20:43:32;paradigms firewall
4;VALIDATED;2020-04-22T03:50:57;Cayman Islands Dollar
5;PAID;2020-04-22T01:22:49;Som Streamlined
6;PAID;2020-04-22T11:11:02;functionalities Ergonomic Concrete Sausages Stand-alone
7;PAID;2020-04-21T16:18:20;calculating Representative
8;PAID;2020-04-21T12:22:29;uniform Georgia
9;PAID;2020-04-22T04:43:24;Incredible
10;VALIDATED;2020-04-21T19:18:13;Global calculate Health
